t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
1001.001, 0.011, +0.469411, -0.306413, -0.091930,0.568061684,0.563411217,0.004650467,0.443775340,0.443759030,0.004425383,0.000016310,0.647459304,0.647418850,0.020277311,0.000040454,1.445151227,1.445108592,0.030012044,0.000042634,0.964296484,0.964273823,0.021739683,0.000022660,5.907266883,5.906799557,1.065673648,0.000467326,9.223868184,9.223478927,1.307094776,0.000389257,19.691012673,19.690843139,1.405987762,0.000169534,29.498476685,29.498312084,2.327574772,0.000164601,0.520057051,0.433497046,0.166443,  0.374788, 0.949764531,  15.6,   2.9, 191.7, 131.3,-1.122410E-04,3.534892E-03,   ,
1101.101, 0.005, -0.278744, +0.375665, +0.107743,0.478601129,0.473950661,0.004650467,0.359939489,0.359923178,0.004425374,0.000016310,0.471305927,0.471265473,0.020277495,0.000040454,0.551140738,0.551098104,0.030012532,0.000042634,1.230185287,1.230162626,0.021738661,0.000022660,5.399359266,5.398891939,1.065593869,0.000467326,8.621931593,8.621542336,1.307685164,0.000389257,18.711800560,18.711631025,1.405715555,0.000169534,30.561737254,30.561572653,2.327831390,0.000164601,0.523329577,0.437878634,0.163283,  0.378331, 0.950485154,  15.5,   2.5, 191.1, 292.0,-1.122410E-04,3.534892E-03,   ,
1201.201, 0.006, +0.575708, -0.148709, -0.046781,0.590779052,0.586128585,0.004650467,0.231920432,0.231904121,0.004425351,0.000016310,0.822834174,0.822793720,0.020277254,0.000040454,1.578652814,1.578610179,0.030012580,0.000042634,2.252206166,2.252183506,0.021740614,0.000022660,5.906515863,5.906048536,1.065454254,0.000467326,9.933224691,9.932835434,1.308468914,0.000389257,18.898112704,18.897943169,1.405650670,0.000169534,30.162915157,30.162750555,2.327748259,0.000164601,0.529084007,0.444966193,0.158988,  0.384588, 0.951355402,  15.5,   2.0, 194.6, 148.4,-1.122410E-04,3.534892E-03,   ,
1301.301, 0.008, -0.411967, +0.186131, +0.054019,0.449406427,0.444755960,0.004650467,0.651740182,0.651723871,0.004425357,0.000016310,1.166513801,1.166473347,0.020277335,0.000040454,0.818023267,0.817980633,0.030012153,0.000042634,1.482040907,1.482018247,0.021738272,0.000022660,5.497262162,5.496794835,1.065483430,0.000467326,9.424943579,9.424554322,1.308114883,0.000389257,18.672702145,18.672532610,1.405545575,0.000169534,30.505070444,30.504905843,2.327763471,0.000164601,0.535893516,0.439675481,0.179547,  0.392037, 0.948232673,  15.4,   1.3, 192.7, 320.8,-1.122410E-04,3.534892E-03,   ,
1401.401, 0.004, +0.607850, +0.028901, +0.004501,0.604097816,0.599447348,0.004650467,0.798302369,0.798286058,0.004425353,0.000016310,1.263049413,1.263008959,0.020277368,0.000040454,1.412826834,1.412784200,0.030012402,0.000042634,1.142860565,1.142837905,0.021739707,0.000022660,5.287517241,5.287049914,1.065401026,0.000467326,10.148250061,10.147860805,1.308558689,0.000389257,19.412086607,19.411917073,1.405748640,0.000169534,30.861425349,30.861260748,2.327543635,0.000164601,0.526755620,0.442622926,0.159719,  0.382052, 0.951432161,  15.5,   1.2, 193.1, 168.5,-1.122410E-04,3.534892E-03,   ,
1501.502, 0.007, -0.432882, -0.054169, -0.013944,0.434467145,0.429816678,0.004650467,0.753874489,0.753858179,0.004425367,0.000016310,0.719716558,0.719676104,0.020277359,0.000040454,1.097901178,1.097858544,0.030012586,0.000042634,1.812155401,1.812132741,0.021739537,0.000022660,5.168429899,5.167962573,1.065375259,0.000467326,10.211601897,10.211212640,1.308649087,0.000389257,20.498895942,20.498726408,1.405900414,0.000169534,30.167243193,30.167078591,2.327448776,0.000164601,0.525256612,0.434992635,0.171847,  0.380422, 0.949473508,  15.5,   0.5, 199.3, 347.6,-1.122410E-04,3.534892E-03,   ,
1601.602, 0.007, +0.566429, +0.202225, +0.055080,0.607007934,0.602357467,0.004650467,1.030786312,1.030770002,0.004425367,0.000016310,0.173975123,0.173934669,0.020277266,0.000040454,0.985445270,0.985402636,0.030012181,0.000042634,1.853421802,1.853399142,0.021738220,0.000022660,4.508969903,4.508502577,1.065427078,0.000467326,9.198361751,9.197972494,1.308261253,0.000389257,19.008482920,19.008313386,1.405946251,0.000169534,30.675870778,30.675706177,2.327335089,0.000164601,0.515365628,0.426021578,0.173361,  0.369728, 0.949228078,  15.5,   0.3, 193.8, 186.2,-1.122410E-04,3.534892E-03,   ,
1701.702, 0.004, -0.321357, -0.279286, -0.077206,0.439565108,0.434914641,0.004650467,0.747744999,0.747728688,0.004425357,0.000016310,0.563558651,0.563518197,0.020277219,0.000040454,1.301240973,1.301198339,0.030012484,0.000042634,1.302883135,1.302860474,0.021740241,0.000022660,5.046307375,5.045840049,1.065453284,0.000467326,9.659789355,9.659400098,1.308177804,0.000389257,18.321931402,18.321761867,1.406035388,0.000169534,30.056177173,30.056012572,2.327188376,0.000164601,0.500449623,0.425267512,0.150229,  0.353793, 0.952848695,  15.5,   0.0, 192.3,  29.7,-1.122410E-04,3.534892E-03,   ,
1801.802, 0.012, +0.461594, +0.358704, +0.098666,0.599233100,0.594582633,0.004650467,0.921128559,0.921112248,0.004425345,0.000016310,1.195125630,1.195085176,0.020277460,0.000040454,0.491035768,0.490993134,0.030012812,0.000042634,1.943011510,1.942988850,0.021738417,0.000022660,4.451034885,4.450567559,1.065653966,0.000467326,8.740956858,8.740567601,1.307270964,0.000389257,19.131117833,19.130948298,1.405802997,0.000169534,29.780304724,29.780140123,2.327225483,0.000164601,0.510226860,0.421067211,0.174745,  0.364212, 0.949341997,  15.4,   0.0, 200.3, 198.6,-1.122410E-04,3.534892E-03,   ,
1901.902, 0.005, -0.122743, -0.427167, -0.117591,0.462834187,0.458183719,0.004650467,0.539627618,0.539611308,0.004425367,0.000016310,1.172165736,1.172125282,0.020277567,0.000040454,1.425966494,1.425923859,0.030011916,0.000042634,1.552710007,1.552687347,0.021739875,0.000022660,5.406946011,5.406478685,1.065738973,0.000467326,9.314940696,9.314551439,1.307059057,0.000389257,19.167142757,19.166973222,1.405942633,0.000169534,30.074399709,30.074235107,2.327047144,0.000164601,0.511847841,0.421677781,0.176166,  0.365949, 0.949154151,  15.4,  -0.3, 191.4,  63.4,-1.122410E-04,3.534892E-03,   ,
