t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
   0.000, 0.000, -0.437433, -0.078747, -0.008247,0.436257911,0.431607444,0.004650467,0.172974921,0.172958611,0.004425384,0.000016310,0.369908984,0.369868530,0.020277322,0.000040454,0.950666395,0.950623761,0.030012183,0.000042634,1.435026032,1.435003372,0.021739266,0.000022660,5.342597583,5.342130257,1.065479593,0.000467326,10.105514955,10.105125698,1.307911803,0.000389257,19.939573847,19.939404313,1.405740739,0.000169534,30.327632592,30.327467991,2.327593230,0.000164601,0.544129126,0.444541569,0.183022,  0.401108, 0.945757963,  15.8,   6.5, 183.9, 360.0,-1.122410E-04,3.534892E-03,   ,
 100.100, 0.004, +0.577572, +0.197635, +0.039304,0.603876042,0.599225574,0.004650467,0.369385190,0.369368879,0.004425363,0.000016310,0.946432225,0.946391771,0.020277214,0.000040454,1.471887811,1.471845176,0.030012433,0.000042634,0.838413243,0.838390583,0.021739474,0.000022660,6.056444932,6.055977605,1.065383384,0.000467326,9.379618535,9.379229279,1.308502819,0.000389257,18.717560882,18.717391347,1.405528955,0.000169534,30.912622111,30.912457510,2.327634689,0.000164601,0.532059826,0.450782077,0.152761,  0.387837, 0.950815721,  15.8,   5.8, 183.8, 189.8,-1.122410E-04,3.534892E-03,   ,
 200.200, 0.007, -0.329368, -0.292998, -0.074256,0.444966923,0.440316456,0.004650467,0.404951038,0.404934727,0.004425341,0.000016310,1.114308457,1.114268003,0.020277485,0.000040454,0.685278734,0.685236100,0.030012599,0.000042634,1.898012646,1.897989986,0.021738583,0.000022660,5.286830552,5.286363225,1.065530906,0.000467326,9.784268383,9.783879127,1.307558674,0.000389257,17.954735079,17.954565544,1.405754901,0.000169534,30.210568093,30.210403492,2.327724600,0.000164601,0.525534425,0.440215219,0.162348,  0.380724, 0.949284557,  15.8,   5.2, 190.5,  27.0,-1.122410E-04,3.534892E-03,   ,
 300.300, 0.005, +0.474132, +0.349606, +0.086912,0.594202691,0.589552223,0.004650467,0.900239483,0.900223172,0.004425357,0.000016310,1.199328029,1.199287575,0.020277276,0.000040454,1.595594872,1.595552238,0.030012206,0.000042634,2.030191907,2.030169247,0.021740720,0.000022660,5.762283246,5.761815920,1.065420938,0.000467326,8.582099585,8.581710328,1.308541976,0.000389257,19.627801057,19.627631523,1.405814833,0.000169534,30.318279673,30.318115072,2.327672077,0.000164601,0.522018720,0.436343821,0.164122,  0.376910, 0.949180103,  15.8,   5.0, 186.0, 206.4,-1.122410E-04,3.534892E-03,   ,
 400.400, 0.006, -0.131464, -0.430583, -0.119249,0.469843179,0.465192712,0.004650467,0.628320602,0.628304292,0.004425365,0.000016310,0.863240383,0.863199929,0.020277327,0.000040454,0.573789474,0.573746840,0.030012263,0.000042634,1.179045117,1.179022456,0.021738206,0.000022660,4.851757232,4.851289905,1.065393485,0.000467326,9.395943118,9.395553862,1.308735008,0.000389257,20.003498712,20.003329178,1.405751895,0.000169534,30.246382594,30.246217993,2.327825364,0.000164601,0.509548632,0.430784406,0.154576,  0.363486, 0.950237659,  15.9,   4.5, 185.4,  63.9,-1.122410E-04,3.534892E-03,   ,
 500.501, 0.010, +0.316774, +0.458187, +0.122829,0.574846605,0.570196138,0.004650467,1.030691429,1.030675119,0.004425366,0.000016310,0.214750125,0.214709671,0.020277283,0.000040454,1.423246022,1.423203388,0.030012640,0.000042634,1.620403724,1.620381064,0.021739854,0.000022660,5.036257909,5.035790583,1.065564726,0.000467326,9.715344443,9.714955186,1.307829327,0.000389257,19.305240593,19.305071059,1.405811254,0.000169534,29.458854896,29.458690295,2.327848483,0.000164601,0.512591824,0.426028508,0.168874,  0.366747, 0.948311411,  15.8,   4.2, 190.9, 221.2,-1.122410E-04,3.534892E-03,   ,
 600.601, 0.004, +0.097753, -0.472100, -0.135270,0.503252253,0.498601786,0.004650467,0.812842257,0.812825946,0.004425357,0.000016310,0.455760197,0.455719743,0.020277661,0.000040454,0.743596929,0.743554295,0.030011888,0.000042634,1.787430969,1.787408309,0.021739396,0.000022660,4.808531549,4.808064223,1.065518719,0.000467326,9.531319033,9.530929776,1.308250797,0.000389257,19.289773474,19.289603939,1.405492848,0.000169534,30.070264304,30.070099702,2.327948754,0.000164601,0.514182898,0.427108824,0.169345,  0.368456, 0.948299930,  15.8,   4.1, 186.4,  90.9,-1.122410E-04,3.534892E-03,   ,
 700.701, 0.009, +0.126088, +0.509830, +0.141284,0.547076114,0.542425647,0.004650467,0.871773735,0.871757425,0.004425357,0.000016310,1.183717760,1.183677306,0.020277354,0.000040454,1.048623896,1.048581261,0.030012043,0.000042634,1.335503153,1.335480493,0.021738869,0.000022660,4.530793727,4.530326400,1.065597332,0.000467326,10.535725679,10.535336422,1.307692813,0.000389257,18.397063167,18.396893633,1.405632983,0.000169534,29.358217208,29.358052607,2.327974051,0.000164601,0.513892976,0.428130890,0.166887,  0.368144, 0.948892356,  15.8,   3.8, 192.2, 240.8,-1.122410E-04,3.534892E-03,   ,
 800.801, 0.007, +0.306718, -0.421097, -0.123912,0.537862250,0.533211783,0.004650467,0.703864987,0.703848677,0.004425354,0.000016310,1.243302872,1.243262418,0.020277192,0.000040454,1.102549577,1.102506942,0.030012713,0.000042634,1.930421968,1.930399307,0.021739944,0.000022660,5.367470807,5.367003481,1.065670787,0.000467326,9.322200076,9.321810819,1.307351640,0.000389257,18.667892694,18.667723159,1.405496560,0.000169534,29.602302870,29.602138269,2.328012526,0.000164601,0.515377939,0.427405361,0.170695,  0.369741, 0.948377507,  15.7,   3.6, 188.9, 112.6,-1.122410E-04,3.534892E-03,   ,
 900.901, 0.004, -0.084824, +0.486485, +0.137260,0.513380783,0.508730316,0.004650467,0.398834437,0.398818127,0.004425366,0.000016310,0.893061228,0.893020774,0.020277350,0.000040454,0.643267296,0.643224662,0.030012542,0.000042634,1.962983721,1.962961061,0.021738849,0.000022660,4.827490727,4.827023401,1.065606181,0.000467326,9.716633667,9.716244410,1.307676283,0.000389257,20.323333962,20.323164428,1.405699186,0.000169534,30.021735586,30.021570985,2.327897995,0.000164601,0.518054663,0.433768066,0.162698,  0.372625, 0.950164510,  15.6,   3.2, 192.1, 264.4,-1.122410E-04,3.534892E-03,   ,
