t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
1001.001, 0.011, -0.200340, -0.775377, -0.308498,0.859396791,0.854746324,0.004650467,0.564149531,0.564133221,0.004425378,0.000016310,0.404351254,0.404310800,0.020277224,0.000040454,1.412759764,1.412717130,0.029990062,0.000042634,1.813715397,1.813692737,0.021739569,0.000022660,5.229387902,5.228920576,1.065613142,0.000467326,9.613581692,9.613192435,1.307501853,0.000389257,20.496597032,20.496427497,1.405965476,0.000169534,30.297693701,30.297529100,2.327589562,0.000164601,0.742266292,0.141746950,0.809035,  0.639070, 0.503026566,  31.1,  35.9,  14.1, 209.9,-1.122418E-04,3.534974E-03,   ,
1101.101, 0.006, -0.713529, -1.038561, -0.258393,1.284728794,1.280078327,0.004650467,1.044907509,1.044891198,0.004425371,0.000016310,1.160562022,1.160521568,0.020277325,0.000040454,0.373887571,0.373844936,0.029989660,0.000042634,2.712796852,2.712774192,0.021738737,0.000022660,5.458507079,5.458039753,1.065551951,0.000467326,9.726960171,9.726570914,1.307939017,0.000389257,20.134445085,20.134275550,1.405644617,0.000169534,29.117147433,29.116982832,2.327839104,0.000164601,0.745427210,0.141907013,0.809630,  0.643157, 0.502971987,  31.0,  35.6,  14.3, 188.7,-1.122418E-04,3.534974E-03,   ,
1201.201, 0.005, -0.955857, -0.900244, -0.105586,1.320313443,1.315662976,0.004650467,1.625166183,1.625149872,0.004425348,0.000016310,1.989487146,1.989446692,0.020277280,0.000040454,1.533892381,1.533849747,0.029990015,0.000042634,1.622854548,1.622831888,0.021740835,0.000022660,5.214130032,5.213662706,1.065419080,0.000467326,9.023166813,9.022777557,1.308669120,0.000389257,17.683384942,17.683215407,1.405624304,0.000169534,30.599084421,30.598919820,2.327762072,0.000164601,0.742360640,0.140257511,0.811066,  0.639192, 0.501581729,  31.0,  35.6,  14.6, 174.4,-1.122418E-04,3.534974E-03,   ,
1301.301, 0.011, -0.873328, -0.436960, +0.082645,0.977726733,0.973076266,0.004650467,0.789156820,0.789140509,0.004425358,0.000016310,1.488637977,1.488597523,0.020277312,0.000040454,1.968883646,1.968841012,0.029989603,0.000042634,0.750628318,0.750605658,0.021738255,0.000022660,5.211410730,5.210943404,1.065441809,0.000467326,10.248734683,10.248345426,1.308339703,0.000389257,17.906654517,17.906484983,1.405530176,0.000169534,30.450352048,30.450187447,2.327773341,0.000164601,0.747065036,0.144220127,0.806951,  0.645277, 0.508575736,  30.6,  34.8,  15.0, 155.5,-1.122418E-04,3.534974E-03,   ,
1401.401, 0.002, +0.182608, -0.088401, -0.101913,0.221613882,0.216963415,0.004650467,0.552060239,0.552043929,0.004425352,0.000016310,0.816171259,0.816130805,0.020277301,0.000040454,1.101101497,1.101058863,0.029990264,0.000042634,1.215148814,1.215126154,0.021739452,0.000022660,5.307664114,5.307196788,1.065346586,0.000467326,9.682176754,9.681787497,1.308920388,0.000389257,19.566095131,19.565925597,1.405723112,0.000169534,30.441044999,30.440880398,2.327548672,0.000164601,0.879650866,0.145779114,0.834276,  0.824469, 0.475901224,  30.3,  33.3,  15.0, 282.3,-1.122418E-04,3.534974E-03,   ,
1501.502, 0.007, -0.425076, -0.933514, -0.316168,1.077043970,1.072393503,0.004650467,1.078164159,1.078147848,0.004425366,0.000016310,1.582039307,1.581998852,0.020277237,0.000040454,1.255416349,1.255373715,0.029989673,0.000042634,2.468709274,2.468686614,0.021739624,0.000022660,4.343775984,4.343308658,1.065298080,0.000467326,9.744254699,9.743865442,1.309247358,0.000389257,20.662501090,20.662331555,1.405915939,0.000169534,30.683268146,30.683103545,2.327460748,0.000164601,0.740441064,0.138267654,0.813263,  0.636714, 0.499207414,  30.9,  34.5,  15.4, 199.5,-1.122418E-04,3.534974E-03,   ,
1601.602, 0.008, -0.829137, -1.031461, -0.224960,1.337071973,1.332421506,0.004650467,0.896643670,0.896627359,0.004425373,0.000016310,1.982502013,1.982461559,0.020277336,0.000040454,0.496375372,0.496332738,0.029990146,0.000042634,2.384860476,2.384837815,0.021738550,0.000022660,6.307197877,6.306730551,1.065399091,0.000467326,9.810024770,9.809635513,1.308683004,0.000389257,20.560067237,20.559897703,1.405890189,0.000169534,29.135418157,29.135253556,2.327342644,0.000164601,0.748046140,0.142243360,0.809847,  0.646549, 0.505486428,  30.5,  34.4,  15.7, 183.6,-1.122418E-04,3.534974E-03,   ,
1701.702, 0.004, -0.973607, -0.791733, -0.065463,1.263921494,1.259271027,0.004650467,1.510894359,1.510878048,0.004425357,0.000016310,1.088756994,1.088716540,0.020277279,0.000040454,1.762672933,1.762630299,0.029989650,0.000042634,0.786119882,0.786097222,0.021740122,0.000022660,4.213683857,4.213216530,1.065434254,0.000467326,8.965429902,8.965040645,1.308598309,0.000389257,18.089480049,18.089310514,1.406027134,0.000169534,30.263625371,30.263460770,2.327205187,0.000164601,0.739142287,0.138122623,0.813131,  0.635040, 0.501335261,  30.5,  34.0,  15.9, 170.0,-1.122418E-04,3.534974E-03,   ,
1801.802, 0.008, -0.744644, -0.251905, +0.118036,0.787353113,0.782702646,0.004650467,0.927250723,0.927234413,0.004425346,0.000016310,0.311524627,0.311484172,0.020277453,0.000040454,1.761165060,1.761122425,0.029990156,0.000042634,1.395536026,1.395513365,0.021738423,0.000022660,5.710796129,5.710328803,1.065679219,0.000467326,10.187135646,10.186746389,1.307721598,0.000389257,17.829221242,17.829051708,1.405776714,0.000169534,30.558755044,30.558590443,2.327233218,0.000164601,0.757666727,0.143584795,0.810491,  0.659062, 0.506237867,  30.2,  33.6,  16.7, 146.1,-1.122418E-04,3.534974E-03,   ,
1901.902, 0.006, +0.024018, -0.529653, -0.263591,0.592242518,0.587592051,0.004650467,0.663573614,0.663557303,0.004425366,0.000016310,1.262430206,1.262389752,0.020277245,0.000040454,1.516278581,1.516235947,0.029989687,0.000042634,1.482017082,1.481994421,0.021739599,0.000022660,5.557674022,5.557206695,1.065906092,0.000467326,9.456884670,9.456495413,1.306717767,0.000389257,19.022180270,19.022010736,1.405913732,0.000169534,30.202341298,30.202176697,2.327058443,0.000164601,0.743284220,0.146178786,0.803334,  0.640385, 0.515660899,  30.0,  33.2,  16.5, 226.3,-1.122418E-04,3.534974E-03,   ,
2002.002, 0.005, -0.586172, -1.004694, -0.306712,1.202276109,1.197625642,0.004650467,1.453243177,1.453226867,0.004425367,0.000016310,1.397159291,1.397118837,0.020277451,0.000040454,1.001996875,1.001954240,0.029989817,0.000042634,2.650459317,2.650436656,0.021739470,0.000022660,5.036317659,5.035850333,1.065737501,0.000467326,9.742986407,9.742597150,1.307540055,0.000389257,20.597939074,20.597769540,1.405917396,0.000169534,30.926309727,30.926145126,2.327117669,0.000164601,0.744648759,0.137914926,0.814792,  0.642149, 0.500021997,  30.4,  33.0,  16.6, 193.6,-1.122418E-04,3.534974E-03,   ,
2102.102, 0.010, -0.887578, -0.998514, -0.203109,1.349661128,1.345010660,0.004650467,0.987204102,0.987187792,0.004425365,0.000016310,0.648781082,0.648740628,0.020277267,0.000040454,0.792197725,0.792155091,0.029989858,0.000042634,1.760250261,1.760227601,0.021740046,0.000022660,5.612370457,5.611903131,1.065677060,0.000467326,9.889458073,9.889068816,1.307598766,0.000389257,20.865480709,20.865311175,1.406152744,0.000169534,29.283089446,29.282924845,2.326879930,0.000164601,0.745727601,0.140073195,0.812166,  0.643545, 0.504825128,  30.1,  33.2,  17.2, 180.3,-1.122418E-04,3.534974E-03,   ,
2202.202, 0.004, -0.969419, -0.685184, -0.034146,1.192357941,1.187707474,0.004650467,1.123995136,1.123978825,0.004425364,0.000016310,1.393423998,1.393383544,0.020277409,0.000040454,1.914834565,1.914791931,0.029989620,0.000042634,0.474790434,0.474767773,0.021738829,0.000022660,4.811793372,4.811326046,1.065678882,0.000467326,8.986287927,8.985898670,1.307355055,0.000389257,18.535936900,18.535767365,1.406291860,0.000169534,29.945699953,29.945535352,2.326665691,0.000164601,0.740876964,0.138791697,0.812666,  0.637277, 0.504789614,  30.0,  32.4,  17.4, 165.9,-1.122418E-04,3.534974E-03,   ,
2302.302, 0.005, -0.600899, -0.110362, +0.133149,0.621050350,0.616399883,0.004650467,0.959761449,0.959745139,0.004425349,0.000016310,1.332969649,1.332929195,0.020277346,0.000040454,1.508679285,1.508636651,0.029989894,0.000042634,1.793475999,1.793453339,0.021739326,0.000022660,5.257977694,5.257510368,1.065322676,0.000467326,10.042899344,10.042510087,1.309121414,0.000389257,17.846466153,17.846296619,1.406042328,0.000169534,30.507950534,30.507785933,2.326778424,0.000164601,0.755060169,0.137970312,0.817272,  0.655664, 0.498074467,  30.2,  32.4,  17.8, 137.1,-1.122418E-04,3.534974E-03,   ,
2402.402, 0.008, -0.108710, -0.686679, -0.302209,0.764219732,0.759569265,0.004650467,0.490581789,0.490565479,0.004425354,0.000016310,0.377519311,0.377478857,0.020277363,0.000040454,1.575077641,1.575035007,0.029989592,0.000042634,2.072590025,2.072567365,0.021740031,0.000022660,4.799680973,4.799213647,1.065327108,0.000467326,9.326267269,9.325878012,1.309076137,0.000389257,18.630611341,18.630441807,1.406040594,0.000169534,29.922061001,29.921896400,2.326760061,0.000164601,0.731932559,0.139925897,0.808827,  0.625771, 0.509355752,  30.0,  32.1,  18.4, 214.6,-1.122418E-04,3.534974E-03,   ,
2502.503, 0.004, -0.278240, -0.835947, -0.324517,0.935026844,0.930376377,0.004650467,1.230484727,1.230468417,0.004425366,0.000016310,1.029130903,1.029090449,0.020277393,0.000040454,0.827247387,0.827204753,0.029990072,0.000042634,2.301003045,2.300980385,0.021738072,0.000022660,5.719388278,5.718920952,1.065410309,0.000467326,9.566427862,9.566038605,1.308511342,0.000389257,20.018332355,20.018162821,1.405944477,0.000169534,30.664144162,30.663979561,2.326784863,0.000164601,0.748157009,0.136922501,0.816987,  0.646693, 0.500036722,  29.9,  31.7,  18.1, 205.9,-1.122418E-04,3.534974E-03,   ,
2602.603, 0.011, -0.449099, -0.952292, -0.330146,1.105075232,1.100424765,0.004650467,0.867978087,0.867961776,0.004425369,0.000016310,1.799803408,1.799762954,0.020277324,0.000040454,0.696124481,0.696081846,0.029989590,0.000042634,1.377724083,1.377701423,0.021740598,0.000022660,4.845388805,4.844921479,1.065314855,0.000467326,10.021004361,10.020615104,1.309225694,0.000389257,20.718625392,20.718455857,1.406132736,0.000169534,29.407403109,29.407238508,2.326676879,0.000164601,0.742329052,0.139126100,0.812582,  0.639151, 0.506142715,  29.7,  31.4,  18.8, 198.3,-1.122418E-04,3.534974E-03,   ,
2702.703, 0.006, -0.516572, -0.979947, -0.327267,1.155498353,1.150847886,0.004650467,0.957110332,0.957094022,0.004425356,0.000016310,1.360361711,1.360321257,0.020277604,0.000040454,1.762139253,1.762096619,0.029990178,0.000042634,0.697784647,0.697761987,0.021738284,0.000022660,5.440481946,5.440014620,1.065428991,0.000467326,8.740269683,8.739880426,1.308501933,0.000389257,19.500425789,19.500256255,1.406200497,0.000169534,30.269121602,30.268957000,2.326654520,0.000164601,0.743535128,0.137584594,0.814959,  0.640709, 0.503235741,  29.7,  31.1,  19.0, 195.9,-1.122418E-04,3.534974E-03,   ,
2802.803, 0.005, -0.874109, -1.003037, -0.232946,1.349620963,1.344970496,0.004650467,1.641488717,1.641472407,0.004425360,0.000016310,0.654733431,0.654692977,0.020277334,0.000040454,2.298260224,2.298217589,0.029989473,0.000042634,2.443723695,2.443701034,0.021739728,0.000022660,5.133868803,5.133401477,1.065542829,0.000467326,10.700451681,10.700062424,1.308058085,0.000389257,17.407428841,17.407259306,1.406114004,0.000169534,30.775298738,30.775134137,2.326577130,0.000164601,0.745217491,0.138448840,0.814217,  0.642885, 0.505149553,  29.5,  30.9,  19.3, 181.2,-1.122418E-04,3.534974E-03,   ,
2902.903, 0.010, -0.938667, -0.934040, -0.188177,1.342063527,1.337413060,0.004650467,1.005148907,1.005132596,0.004425360,0.000016310,1.600967871,1.600927417,0.020277622,0.000040454,1.520960963,1.520918329,0.029989829,0.000042634,2.684096143,2.684073483,0.021739642,0.000022660,5.076914165,5.076446839,1.065493560,0.000467326,8.617672268,8.617283011,1.308323490,0.000389257,18.017145547,18.016976013,1.406142528,0.000169534,29.010994929,29.010830327,2.326683508,0.000164601,0.741037677,0.136593985,0.815672,  0.637484, 0.503664033,  29.5,  30.3,  19.6, 177.0,-1.122418E-04,3.534974E-03,   ,
3003.003, 0.005, -0.979869, -0.727084, -0.074898,1.219961854,1.215311386,0.004650467,1.151676657,1.151660347,0.004425364,0.000016310,1.933070180,1.933029725,0.020277281,0.000040454,0.245190772,0.245148138,0.029989574,0.000042634,1.477195297,1.477172636,0.021739210,0.000022660,5.567786032,5.567318705,1.065652178,0.000467326,10.038933627,10.038544370,1.307393323,0.000389257,20.365458543,20.365289009,1.405896286,0.000169534,30.737760493,30.737595892,2.326687978,0.000164601,0.746255438,0.137901304,0.815209,  0.644229, 0.504731693,  29.4,  30.3,  19.9, 167.3,-1.122418E-04,3.534974E-03,   ,
