t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
   0.000, 0.000, +0.093297, +0.099459, +0.011181,0.144438053,0.139787586,0.004650467,0.594132979,0.594116669,0.004425385,0.000016310,0.866590652,0.866550198,0.020277333,0.000040454,0.960765574,0.960722940,0.029989617,0.000042634,1.558517769,1.558495108,0.021739213,0.000022660,4.845473905,4.845006578,1.065437928,0.000467326,9.676977144,9.676587887,1.308252531,0.000389257,19.466826486,19.466656951,1.405712779,0.000169534,29.808581561,29.808416959,2.327601528,0.000164601,0.468838801,0.136826740,0.708158,  0.320807, 0.599808292,  31.8,  39.2,   8.9,   0.0,-1.122418E-04,3.534974E-03,   ,
 100.100, 0.004, -0.364215, -0.910171, -0.302199,1.028929195,1.024278728,0.004650467,1.326424665,1.326408355,0.004425364,0.000016310,1.582350711,1.582310257,0.020277194,0.000040454,0.882406283,0.882363649,0.029990301,0.000042634,2.058245122,2.058222462,0.021739485,0.000022660,4.840434405,4.839967078,1.065341877,0.000467326,9.617825204,9.617435947,1.308842755,0.000389257,19.187039652,19.186870118,1.405498792,0.000169534,29.514241723,29.514077122,2.327643008,0.000164601,0.741147935,0.145691207,0.803425,  0.637626, 0.506850519,  31.7,  38.2,  12.0, 202.2,-1.122418E-04,3.534974E-03,   ,
 200.200, 0.011, -0.811481, -1.033025, -0.198816,1.327254135,1.322603668,0.004650467,1.139887084,1.139870773,0.004425348,0.000016310,1.945129625,1.945089171,0.020277410,0.000040454,0.869138169,0.869095535,0.029989503,0.000042634,2.734026994,2.734004333,0.021738129,0.000022660,5.846613562,5.846146236,1.065491657,0.000467326,9.086294422,9.085905166,1.307890106,0.000389257,17.298710733,17.298541198,1.405729395,0.000169534,31.051124155,31.050959554,2.327732624,0.000164601,0.745341597,0.143854597,0.806995,  0.643046, 0.501954959,  31.8,  37.7,  11.9, 184.6,-1.122418E-04,3.534974E-03,   ,
 300.300, 0.006, -0.973665, -0.803595, -0.024203,1.263870052,1.259219585,0.004650467,0.930958919,0.930942609,0.004425357,0.000016310,1.020442423,1.020401969,0.020277208,0.000040454,2.026885143,2.026842509,0.029990134,0.000042634,1.508481149,1.508458488,0.021741186,0.000022660,4.855502846,4.855035519,1.065389551,0.000467326,10.399687852,10.399298595,1.308837371,0.000389257,18.464570996,18.464401461,1.405793993,0.000169534,29.823574866,29.823410265,2.327680826,0.000164601,0.743477519,0.142808988,0.807918,  0.640635, 0.501210544,  31.7,  37.8,  12.1, 170.0,-1.122418E-04,3.534974E-03,   ,
 400.400, 0.005, -0.738875, -0.255777, +0.148757,0.797252776,0.792602308,0.004650467,1.135229325,1.135213014,0.004425363,0.000016310,0.390911182,0.390870728,0.020277300,0.000040454,1.663059755,1.663017120,0.029989698,0.000042634,0.971258602,0.971235942,0.021738110,0.000022660,5.428454911,5.427987584,1.065351919,0.000467326,8.886350508,8.885961251,1.309108718,0.000389257,20.633202142,20.633032608,1.405722129,0.000169534,29.626002143,29.625837542,2.327832325,0.000164601,0.741895274,0.144926626,0.804654,  0.638591, 0.506920516,  31.4,  37.3,  12.4, 146.6,-1.122418E-04,3.534974E-03,   ,
 500.501, 0.007, +0.017467, -0.524918, -0.261756,0.583504327,0.578853859,0.004650467,0.268374795,0.268358485,0.004425368,0.000016310,1.240724185,1.240683731,0.020277188,0.000040454,1.421544051,1.421501417,0.029990331,0.000042634,1.093149447,1.093126787,0.021739557,0.000022660,5.730711831,5.730244505,1.065523233,0.000467326,9.562416817,9.562027560,1.308198160,0.000389257,20.139573225,20.139403690,1.405782821,0.000169534,29.917813384,29.917648783,2.327860909,0.000164601,0.754354912,0.142846332,0.810638,  0.654745, 0.500038034,  31.4,  37.0,  12.6, 226.4,-1.122418E-04,3.534974E-03,   ,
 600.601, 0.004, -0.572742, -1.007729, -0.282865,1.197202169,1.192551702,0.004650467,1.291834859,1.291818548,0.004425355,0.000016310,1.336604459,1.336564005,0.020277252,0.000040454,0.580937036,0.580894402,0.029989783,0.000042634,2.629990945,2.629968285,0.021739349,0.000022660,4.283389364,4.282922038,1.065475331,0.000467326,9.666126323,9.665737066,1.308663868,0.000389257,19.647113649,19.646944114,1.405440655,0.000169534,29.230124807,29.229960206,2.327957375,0.000164601,0.741121506,0.141929075,0.808494,  0.637592, 0.501935172,  31.5,  36.9,  13.1, 193.9,-1.122418E-04,3.534974E-03,   ,
 700.701, 0.008, -0.911679, -0.982063, -0.146736,1.345492214,1.340841747,0.004650467,1.455521649,1.455505339,0.004425358,0.000016310,0.639772636,0.639732182,0.020277312,0.000040454,1.235755412,1.235712778,0.029990038,0.000042634,2.322250059,2.322227399,0.021739205,0.000022660,6.258329975,6.257862649,1.065524262,0.000467326,9.011684774,9.011295517,1.308283629,0.000389257,17.385925523,17.385755989,1.405610854,0.000169534,30.882165778,30.882001176,2.327982834,0.000164601,0.746255350,0.143385319,0.807860,  0.644229, 0.503523114,  31.3,  36.8,  13.2, 178.9,-1.122418E-04,3.534974E-03,   ,
 800.801, 0.008, -0.947287, -0.619474, +0.036926,1.135427712,1.130777245,0.004650467,0.708436956,0.708420646,0.004425354,0.000016310,1.376032333,1.375991879,0.020277285,0.000040454,2.057382369,2.057339735,0.029989853,0.000042634,0.703423280,0.703400619,0.021739672,0.000022660,4.326275738,4.325808412,1.065610021,0.000467326,10.379073405,10.378684148,1.307823949,0.000389257,18.139962605,18.139793071,1.405477619,0.000169534,30.186436533,30.186271931,2.328022832,0.000164601,0.741780249,0.142188757,0.808314,  0.638442, 0.503582389,  31.2,  36.3,  13.4, 163.0,-1.122418E-04,3.534974E-03,   ,
 900.901, 0.003, -0.406075, +0.034112, +0.162068,0.438085798,0.433435331,0.004650467,0.554946786,0.554930476,0.004425363,0.000016310,1.129196110,1.129155656,0.020277354,0.000040454,1.123734823,1.123692189,0.029989878,0.000042634,1.558347917,1.558325257,0.021738836,0.000022660,5.292584212,5.292116886,1.065559531,0.000467326,9.189603935,9.189214678,1.308041172,0.000389257,20.284667197,20.284497663,1.405667073,0.000169534,29.815921893,29.815757292,2.327902264,0.000164601,0.744979322,0.141348076,0.810266,  0.642577, 0.501017562,  31.3,  36.1,  13.6, 120.9,-1.122418E-04,3.534974E-03,   ,
